50 2
0 0 0.00
0 1 34.51
0 2 105.30
0 3 42.07
0 4 118.16
0 5 76.57
0 6 55.02
0 7 127.18
0 8 4.57
0 9 64.48
0 10 62.68
0 11 30.06
0 12 19.59
0 13 101.37
0 14 48.22
0 15 71.42
0 16 82.51
0 17 69.74
0 18 66.88
0 19 59.42
0 20 33.68
0 21 10.65
0 22 18.12
0 23 45.52
0 24 60.39
0 25 62.44
0 26 50.28
0 27 20.84
0 28 57.52
0 29 38.72
0 30 16.46
0 31 20.18
0 32 54.59
0 33 31.12
0 34 50.34
0 35 63.50
0 36 123.68
0 37 30.13
0 38 59.00
0 39 142.71
0 40 83.30
0 41 20.93
0 42 77.43
0 43 91.93
0 44 30.39
0 45 76.73
0 46 39.25
0 47 38.70
0 48 27.94
0 49 26.34
1 0 34.51
1 1 0.00
1 2 102.67
1 3 39.44
1 4 83.65
1 5 61.70
1 6 20.52
1 7 92.68
1 8 29.93
1 9 29.97
1 10 65.31
1 11 46.47
1 12 15.59
1 13 98.74
1 14 13.76
1 15 68.79
1 16 60.74
1 17 56.86
1 18 53.73
1 19 62.05
1 20 21.75
1 21 23.86
1 22 52.63
1 23 37.71
1 24 57.76
1 25 27.93
1 26 15.77
1 27 17.99
1 28 23.01
1 29 4.21
1 30 37.95
1 31 14.33
1 32 20.08
1 33 15.23
1 34 30.89
1 35 66.13
1 36 89.17
1 37 17.78
1 38 32.87
1 39 108.20
1 40 71.09
1 41 13.58
1 42 74.80
1 43 89.30
1 44 13.12
1 45 47.33
1 46 36.62
1 47 5.87
1 48 8.53
1 49 20.23
2 0 105.30
2 1 102.67
2 2 0.00
2 3 63.23
2 4 90.44
2 5 40.97
2 6 100.51
2 7 77.49
2 8 102.24
2 9 97.72
2 10 167.98
2 11 75.24
2 12 87.08
2 13 3.93
2 14 116.42
2 15 33.88
2 16 41.93
2 17 45.81
2 18 48.93
2 19 164.72
2 20 124.42
2 21 111.94
2 22 88.75
2 23 64.96
2 24 44.91
2 25 106.09
2 26 94.50
2 27 84.68
2 28 110.06
2 29 106.63
2 30 88.84
2 31 113.82
2 32 91.79
2 33 87.44
2 34 71.78
2 35 168.79
2 36 79.86
2 37 120.45
2 38 69.80
2 39 87.06
2 40 31.58
2 41 99.20
2 42 27.87
2 43 13.37
2 44 115.79
2 45 55.34
2 46 66.05
2 47 96.80
2 48 111.20
2 49 82.44
3 0 42.07
3 1 39.44
3 2 63.23
3 3 0.00
3 4 100.75
3 5 59.16
3 6 37.62
