10 2
0 0 0.00
0 1 142.17
0 2 8.06
0 3 65.77
0 4 77.81
0 5 129.12
0 6 9.99
0 7 126.16
0 8 72.58
0 9 11.64
1 0 142.17
1 1 0.00
1 2 135.17
1 3 76.40
1 4 64.36
1 5 13.05
1 6 144.87
1 7 24.13
1 8 69.59
1 9 148.83
2 0 8.06
2 1 135.17
2 2 0.00
2 3 58.77
2 4 70.81
2 5 122.12
2 6 9.70
2 7 119.16
2 8 65.58
2 9 19.70
3 0 65.77
3 1 76.40
3 2 58.77
3 3 0.00
3 4 12.04
3 5 63.35
3 6 68.47
3 7 60.39
3 8 6.81
3 9 72.43
4 0 77.81
4 1 64.36
4 2 70.81
4 3 12.04
4 4 0.00
4 5 51.32
4 6 80.51
4 7 48.36
4 8 7.30
4 9 84.47
5 0 129.12
5 1 13.05
5 2 122.12
5 3 63.35
5 4 51.32
5 5 0.00
5 6 131.82
5 7 21.96
5 8 56.54
5 9 135.79
6 0 9.99
6 1 144.87
6 2 9.70
6 3 68.47
6 4 80.51
6 5 131.82
6 6 0.00
6 7 128.87
6 8 75.28
6 9 21.63
7 0 126.16
7 1 24.13
7 2 119.16
7 3 60.39
7 4 48.36
7 5 21.96
7 6 128.87
7 7 0.00
7 8 53.58
7 9 132.83
8 0 72.58
8 1 69.59
8 2 65.58
8 3 6.81
8 4 7.30
8 5 56.54
8 6 75.28
8 7 53.58
8 8 0.00
8 9 79.24
9 0 11.64
9 1 148.83
9 2 19.70
9 3 72.43
9 4 84.47
9 5 135.79
9 6 21.63
9 7 132.83
9 8 79.24
9 9 0.00
