40 3
0 0 0.00
0 1 112.15
0 2 110.20
0 3 74.35
0 4 124.88
0 5 117.66
0 6 79.79
0 7 57.34
0 8 187.39
0 9 93.96
0 10 169.22
0 11 78.99
0 12 187.21
0 13 96.83
0 14 196.72
0 15 85.56
0 16 89.16
0 17 146.75
0 18 209.45
0 19 152.00
0 20 65.83
0 21 180.94
0 22 93.69
0 23 37.25
0 24 143.17
0 25 133.30
0 26 46.80
0 27 76.45
0 28 191.92
0 29 72.59
0 30 131.37
0 31 68.36
0 32 122.96
0 33 112.32
0 34 121.67
0 35 65.57
0 36 83.60
0 37 116.63
0 38 154.18
0 39 27.19
1 0 112.15
1 1 0.00
1 2 84.11
1 3 37.80
1 4 209.89
1 5 84.83
1 6 46.49
1 7 151.04
1 8 80.90
1 9 181.91
1 10 155.32
1 11 90.67
1 12 98.22
1 13 117.90
1 14 163.89
1 15 173.74
1 16 162.59
1 17 123.10
1 18 176.62
1 19 65.23
1 20 68.20
1 21 83.44
1 22 191.14
1 23 97.06
1 24 110.34
1 25 32.15
1 26 67.79
1 27 113.30
1 28 173.18
1 29 90.72
1 30 42.44
1 31 165.40
1 32 99.96
1 33 133.70
1 34 219.11
1 35 109.18
1 36 169.70
1 37 83.80
1 38 103.20
1 39 84.96
2 0 110.20
2 1 84.11
2 2 0.00
2 3 67.61
2 4 165.89
2 5 25.11
2 6 127.76
2 7 107.04
2 8 157.50
2 9 196.19
2 10 111.32
2 11 131.24
2 12 125.80
2 13 155.23
2 14 112.07
2 15 149.90
2 16 118.59
2 17 79.10
2 18 110.19
2 19 149.33
2 20 133.40
2 21 151.17
2 22 173.55
2 23 104.11
2 24 55.66
2 25 105.33
2 26 84.54
2 27 178.68
2 28 129.18
2 29 174.82
2 30 126.55
2 31 121.40
2 32 55.96
2 33 178.05
2 34 175.11
2 35 134.05
2 36 125.70
2 37 28.53
2 38 138.02
2 39 95.97
3 0 74.35
3 1 37.80
3 2 67.61
3 3 0.00
3 4 185.13
3 5 75.07
3 6 66.46
3 7 126.28
3 8 113.04
3 9 157.16
3 10 130.56
3 11 69.94
3 12 112.86
3 13 93.92
3 14 154.13
3 15 148.99
3 16 137.84
3 17 104.16
3 18 166.86
3 19 88.03
3 20 72.10
3 21 106.60
3 22 166.38
3 23 72.31
3 24 100.58
3 25 58.95
3 26 29.99
3 27 117.38
3 28 149.34
3 29 113.52
3 30 65.24
3 31 140.65
3 32 80.38
3 33 116.75
3 34 194.36
3 35 84.43
3 36 144.95
3 37 74.04
3 38 81.56
3 39 57.20
4 0 124.88
4 1 209.89
4 2 165.89
4 3 185.13
4 4 0.00
4 5 140.78
4 6 163.40
4 7 79.24
4 8 130.84
4 9 68.11
4 10 54.57
4 11 119.22
4 12 148.01
4 13 91.98
4 14 88.89
4 15 39.32
4 16 54.46
4 17 109.64
4 18 84.57
4 19 153.86
4 20 141.68
4 21 128.18
4 22 50.03
4 23 112.82
4 24 149.26
4 25 177.74
4 26 159.24
4 27 111.43
4 28 75.42
4 29 164.47
4 30 184.19
4 31 79.35
4 32 109.93
4 33 76.18
4 34 30.37
4 35 100.70
4 36 78.24
4 37 139.38
4 38 106.69
4 39 127.94
5 0 117.66
5 1 84.83
5 2 25.11
5 3 75.07
5 4 140.78
5 5 0.00
5 6 114.36
5 7 81.93
5 8 136.58
