10 3
0 0 0.00
0 1 89.08
0 2 98.45
0 3 18.85
0 4 92.53
0 5 24.25
0 6 91.67
0 7 69.62
0 8 90.04
0 9 23.74
1 0 89.08
1 1 0.00
1 2 22.72
1 3 70.23
1 4 17.05
1 5 98.05
1 6 129.53
1 7 107.47
1 8 140.03
1 9 67.33
2 0 98.45
2 1 22.72
2 2 0.00
2 3 87.81
2 4 18.72
2 5 120.77
2 6 129.00
2 7 106.95
2 8 141.85
2 9 90.05
3 0 18.85
3 1 70.23
3 2 87.81
3 3 0.00
3 4 81.89
3 5 32.96
3 6 88.01
3 7 65.96
3 8 86.38
3 9 17.06
4 0 92.53
4 1 17.05
4 2 18.72
4 3 81.89
4 4 0.00
4 5 114.85
4 6 112.47
4 7 100.80
4 8 138.12
4 9 84.13
5 0 24.25
5 1 98.05
5 2 120.77
5 3 32.96
5 4 114.85
5 5 0.00
5 6 114.91
5 7 92.85
5 8 113.27
5 9 30.72
6 0 91.67
6 1 129.53
6 2 129.00
6 3 88.01
6 4 112.47
6 5 114.91
6 6 0.00
6 7 22.06
6 8 34.62
6 9 105.07
7 0 69.62
7 1 107.47
7 2 106.95
7 3 65.96
7 4 100.80
7 5 92.85
7 6 22.06
7 7 0.00
7 8 37.32
7 9 83.02
8 0 90.04
8 1 140.03
8 2 141.85
8 3 86.38
8 4 138.12
8 5 113.27
8 6 34.62
8 7 37.32
8 8 0.00
8 9 103.44
9 0 23.74
9 1 67.33
9 2 90.05
9 3 17.06
9 4 84.13
9 5 30.72
9 6 105.07
9 7 83.02
9 8 103.44
9 9 0.00
