10 2
0 0 0.00
0 1 54.66
0 2 87.85
0 3 61.46
0 4 20.92
0 5 24.92
0 6 22.13
0 7 90.93
0 8 40.60
0 9 33.08
1 0 54.66
1 1 0.00
1 2 80.86
1 3 90.91
1 4 58.67
1 5 29.74
1 6 76.80
1 7 36.27
1 8 71.03
1 9 23.22
2 0 87.85
2 1 80.86
2 2 0.00
2 3 26.39
2 4 66.93
2 5 99.76
2 6 77.32
2 7 117.13
2 8 47.25
2 9 96.95
3 0 61.46
3 1 90.91
3 2 26.39
3 3 0.00
3 4 40.54
3 5 73.37
3 6 50.92
3 7 127.18
3 8 20.86
3 9 70.56
4 0 20.92
4 1 58.67
4 2 66.93
4 3 40.54
4 4 0.00
4 5 32.83
4 6 18.13
4 7 94.93
4 8 19.68
4 9 37.09
5 0 24.92
5 1 29.74
5 2 99.76
5 3 73.37
5 4 32.83
5 5 0.00
5 6 47.06
5 7 66.01
5 8 52.51
5 9 8.16
6 0 22.13
6 1 76.80
6 2 77.32
6 3 50.92
6 4 18.13
6 5 47.06
6 6 0.00
6 7 113.06
6 8 30.06
6 9 55.22
7 0 90.93
7 1 36.27
7 2 117.13
7 3 127.18
7 4 94.93
7 5 66.01
7 6 113.06
7 7 0.00
7 8 107.30
7 9 57.84
8 0 40.60
8 1 71.03
8 2 47.25
8 3 20.86
8 4 19.68
8 5 52.51
8 6 30.06
8 7 107.30
8 8 0.00
8 9 49.70
9 0 33.08
9 1 23.22
9 2 96.95
9 3 70.56
9 4 37.09
9 5 8.16
9 6 55.22
9 7 57.84
9 8 49.70
9 9 0.00
